Source;Target;Weight
@pscbarcelona;@PilarDL;68
@junqueras;@ERCbcn;75
@PodemosBp;@Podem_BCN;61
@janetsanz;@avvcmeridiana;61
@xaviertrias;@avvcmeridiana;106
@jaumecollboni;@PSOE;536
@janetsanz;@AdaColau;197
@janetsanz;@G_Pisarello;148
@AdaColau;@galapita;70
@bcnencomu;@galapita;188
@Laiaortiz;@G_Pisarello;190
@bcnencomu;@Podem_BCN;240
@ARApolitica;@AlfredBosch;77
@pscgracia;@jaumecollboni;51
@sanchezcastejon;@PSOE;138
@PPBarcelona_;@Congreso_Es;50
@albertofdezxbcn;@elperiodico;324
@elisabetbas;@albertofdezxbcn;127
@SandraBoix;@PPBarcelona_;76
@MarcBertomeu;@Podem_BCN;237
@jaguimera;@bcnencomu;81
@SergiFidalgo;@albertofdezxbcn;58
@mrenau;@AdaColau;268
@mrenau;@bcnencomu;382
@albertofdezxbcn;@oramirezlara;80
@bcnencomu;@robert_soro;143
@GraciaEnComu;@robert_soro;64
@GraciaEnComu;@AdaColau;72
@iniciativaBCN;@AdaColau;393
@robert_soro;@AdaColau;63
@jaumecollboni;@btvnoticies;87
@Bcn_Eixample;@xaviertrias;88
@directe;@AdaColau;432
@bcnencomu;@tv3cat;149
@AdaColau;@tv3cat;85
@CarinaMejias;@soniasi02;719
@CarinaMejias;@MarilenBarcelo;534
@soniasi02;@MarilenBarcelo;497
@xaviertrias;@jciurana;158
@xaviertrias;@bcncultura;97
@xaviertrias;@ferranmascarell;67
@jciurana;@bcncultura;62
@CapgiremBCN;@HiginiaRoig;65
@RaholaOficial;@xaviertrias;150
@pconstituentBCN;@bcnencomu;314
@SFamiliaEnComu;@bcnencomu;161
@MunicipalsBCN;@xaviertrias;104
@LaMarinaEnComu;@AdaColau;76
@santilapeira;@Avancemcat;73
@santilapeira;@AlfredBosch;118
@Avancemcat;@AlfredBosch;328
@xaviertrias;@AlfredBosch;306
@AlfredBosch;@jaumecollboni;105
@Jordi_Obon;@Cs_BCNA;74
@PPopular;@marianorajoy;51
@IndEnCastellano;@AdaColau;382
@xapo_;@xaviertrias;126
@joanignasielena;@Avancemcat;98
@Avancemcat;@Esquerra_ERC;59
@bcnencomu;@TeresaForcadesF;282
@bcnencomu;@;62
@YagoAlonsoBCN;@CarinaMejias;298
@YagoAlonsoBCN;@Cs_BCNA;156
@ToniPeraba;@bcnencomu;68
@elSingular;@xaviertrias;84
@bcnencomu;@Esquerra_ERC;55
@PazJoan;@jaumecollboni;50
@s;@s;160
@icveuiaBCN;@bcnencomu;79
@ANDRES_CANO42;@albertofdezxbcn;130
@Ciddavid;@AdaColau;60
@albertofdezxbcn;@PPCatalunya;597
@Immamartin;@PPBarcelona_;62
@Equinoxradio;@xaviertrias;73
@jaumecollboni;@AdaColau;174
@laSextaColumna;@CiudadanosCs;57
@laSextaColumna;@Albert_Rivera;57
@laSextaColumna;@begonavillacis;57
@laSextaColumna;@CarinaMejias;56
@laSextaColumna;@FranHervias;55
@laSextaColumna;@InesArrimadas;55
@CiudadanosCs;@begonavillacis;283
@CiudadanosCs;@FranHervias;64
@CiudadanosCs;@InesArrimadas;142
@Albert_Rivera;@begonavillacis;102
@Albert_Rivera;@FranHervias;75
@begonavillacis;@CarinaMejias;444
@begonavillacis;@FranHervias;59
@begonavillacis;@InesArrimadas;79
@FranHervias;@InesArrimadas;59
@AdriaAlemany;@bcnencomu;143
@sanchezcastejon;@pscbarcelona;235
@PSOE;@pscbarcelona;60
@xaviertrias;@gardanuy_bcn;217
@AliciaSCamacho;@albertofdezxbcn;157
@caminscat;@cercle_infraest;135
@caminscat;@ASINCA_cat;121
@caminscat;@oriolaltisench;61
@caminscat;@toniaira;106
@albertofdezxbcn;@cercle_infraest;95
@albertofdezxbcn;@ASINCA_cat;61
@albertofdezxbcn;@toniaira;104
@cercle_infraest;@ASINCA_cat;90
@albertofdezxbcn;@abc_es;120
@albertofdezxbcn;@ABC_Barcelona;73
@s;@abc_es;110
@s;@ABC_Barcelona;110
@abc_es;@ABC_Barcelona;74
@xmonge;@xaviertrias;73
@albertofdezxbcn;@Laciutat;129
@albertofdezxbcn;@OndaCero_cat;72
@albertofdezxbcn;@albertlesan;50
@albertofdezxbcn;@OndaCero_es;107
@Laciutat;@OndaCero_cat;69
@Laciutat;@albertlesan;59
@javiermulleras;@albertofdezxbcn;215
@javiermulleras;@PPCatalunya;80
@albertofdezxbcn;@Javi_Barrena;98
@albertofdezxbcn;@CasanovaMiriam;98
@albertofdezxbcn;@EduardoBolanosR;86
@CasanovaMiriam;@EduardoBolanosR;58
@CasanovaMiriam;@javiermulleras;74
@CasanovaMiriam;@oramirezlara;54
@EduardoBolanosR;@javiermulleras;56
