Source;Target;Weight
@albertofdezxbcn;@lavanguard;30
@jaumecollboni;@socialistes_cat;290
@iolacc;@jaumecollboni;69
@pscbarcelona;@xaviertrias;78
@jaumecollboni;@xaviertrias;254
@nuet;@bcnencomu;13
@bcnencomu;@terrassaencomu;109
@podem_bcn;@mayoralrafa;51
@jercbcn;@alfredbosch;50
@jercbcn;@jcasteg;12
@alfredbosch;@jcasteg;26
@david_escude;@jaumecollboni;49
@plopezribera2;@albertofdezxbcn;10
@albertofdezxbcn;@europapress;62
@podemsantsbcn;@catnoalttip;19
@podemsantsbcn;@podem_bcn;44
@carmenandres_;@jaumecollboni;693
@rubenmartinez;@bcnencomu;33
@laiaortiz;@janetsanz;24
@janetsanz;@bcnencomu;259
@tdescudella;@cupsants;20
@tdescudella;@capgirembcn;27
@cupsants;@capgirembcn;197
@eldiarioes;@carnecrudaradio;181
@eldiarioes;@manuelacarmena;196
@eldiarioes;@adacolau;282
@jjdv2;@ciudadanoscs;14
@jjdv2;@conilangel;13
@jjdv2;@carinamejias;18
@ciudadanoscs;@conilangel;14
@ciudadanoscs;@carinamejias;2806
@conilangel;@carinamejias;15
@lavanguardia;@albertofdezxbcn;109
@adacolau;@abrilascaso;77
@abrilascaso;@bcnencomu;91
@catdiuprou;@denterd;22
@catdiuprou;@tonialba;31
@catdiuprou;@laksmiz;40
@herrerajoan;@laksmiz;125
@adacolau;@denterd;44
@adacolau;@tonialba;244
@adacolau;@gabrielrufian;10
@adacolau;@laksmiz;424
@denterd;@laksmiz;22
@tonialba;@laksmiz;78
@bcn_gub;@xaviertrias;131
@bcnencomu;@xaviertrias;260
@db_encomun;@ahoramadrid;25
@db_encomun;@bcnencomu;25
@ahoramadrid;@mareatlantica;37
@mareatlantica;@bcnencomu;77
@vplana_catradio;@pscbarcelona;77
@vplana_catradio;@jaumecollboni;85
@vplana_catradio;@xaviertrias;14
@vplana_catradio;@ciu;10
@pscbarcelona;@ciu;29
@jaumecollboni;@ciu;15
@xaviertrias;@ciu;373
@enricfv;@jaumecollboni;55
@pelao_delaldea;@xaviertrias;33
@pelao_delaldea;@albertofdezxbcn;31
@ppbarcelona_;@parlament_cat;76
@ppbarcelona_;@jsergiogarcia;17
@ppbarcelona_;@ppcatalunya;389
@parlament_cat;@jsergiogarcia;12
@parlament_cat;@ppcatalunya;74
@jsergiogarcia;@ppcatalunya;12
@carlesmundo;@tribunacat;19
@ppbarcelona_;@dololopez_;59
@ppbarcelona_;@pp_lleida;74
@dololopez_;@pp_lleida;15
@ppbarcelona_;@ejimenezcara;57
@ppbarcelona_;@copecata;22
@ejimenezcara;@ppcatalunya;96
@ppcatalunya;@copecata;17
@sandraboix;@albertofdezxbcn;794
@bcn_gub;@gubcn;10
@gubcn;@xaviertrias;12
@mmillanclosa;@adacolau;131
@bcnencomu;@a;13
@bcnencomu;@angelsmcastells;90
@olaiafdezdavila;@xabiermikel;14
@olaiafdezdavila;@onintzaenbeita;13
